epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_sign_accuracy,val_sign_accuracy_nonzero,learning_rate,is_best
1,0.23332093255019482,0.6974252492189408,1.0786672788858414,1.4031523044833076,-0.3360724216316304,0.38,0.4222222222222222,0.0001,True
2,0.08818473414874371,0.5486629888415336,0.9072407460212708,1.208915018842342,0.008227828773940793,0.38,0.4222222222222222,0.0001,True
3,0.06988546009416934,0.4641468381881714,0.8264918913133442,1.078478459415982,0.21069778323431732,0.64,0.7111111111111111,0.0001,True
4,0.0813422861750479,0.44954949647188186,0.8160321867093444,1.0451628914363507,0.2587096693004024,0.66,0.7333333333333333,0.0001,True
5,0.0559156393011411,0.35978588193655014,0.7352308357320726,0.8991840830050398,0.45132194166061856,0.78,0.8666666666666667,0.0001,True
6,0.044451358491255914,0.3143641956150532,0.681298702377826,0.8284768769190034,0.5342196583104803,0.75,0.8333333333333334,0.0001,True
7,0.04011255700923042,0.2354041016101837,0.5918937939777971,0.6981499604626606,0.6692363258705742,0.78,0.8666666666666667,0.0001,True
8,0.024844755517479816,0.1919527071714401,0.5161859409138561,0.6314684207959531,0.729402583824929,0.83,0.9222222222222223,0.0001,True
9,0.02805303016470538,0.14541453942656518,0.4439257289841771,0.5456396089081537,0.797962423747087,0.87,0.9666666666666667,0.0001,True
10,0.02356551364524129,0.16586529478430748,0.47907642502337694,0.5834225847881941,0.769013368280785,0.88,0.9777777777777777,0.0001,False
11,0.024936975455946392,0.12338320471346378,0.3969055858626962,0.5029171086902626,0.8283621000668048,0.9,1.0,0.0001,True
12,0.017710977592677982,0.10564492538571357,0.3661288539133966,0.46367770440295214,0.8541008373921092,0.88,0.9777777777777777,0.0001,True
13,0.01314228443014953,0.07004402562975884,0.30408784113824366,0.3744942046611771,0.9048276978790497,0.9,1.0,0.0001,True
14,0.01614160284767916,0.045965274386107924,0.2501284457743168,0.3032005113155531,0.93761499264564,0.9,1.0,0.0001,True
15,0.013377132765764807,0.03153034657239914,0.2089795182645321,0.251118882139183,0.9572063716375769,0.9,1.0,0.0001,True
16,0.01478826964021097,0.02308577165007591,0.18260829403996467,0.2148756471868777,0.9686675202670804,0.9,1.0,0.0001,True
17,0.014042419799959955,0.026637611836194994,0.18704319044947623,0.23081426562185983,0.9638468896947374,0.9,1.0,0.0001,False
18,0.010524270053447029,0.031839544475078585,0.20704905956983566,0.25234715398149865,0.9567867237453144,0.9,1.0,0.0001,False
19,0.013950556691414043,0.026683075726032256,0.20133175211027265,0.23101114802763556,0.9637851868613373,0.9,1.0,0.0001,False
20,0.012368039538462957,0.028770170360803603,0.19951317520812153,0.23987567798936335,0.9609525387672865,0.9,1.0,0.0001,False
21,0.008841671762459072,0.031082117259502412,0.1956264478713274,0.2493275663441204,0.9578147169119433,0.89,0.9888888888888889,0.0001,False
22,0.009261091090278862,0.032115017175674436,0.20183570206165313,0.2534364490205311,0.9564128451145811,0.89,0.9888888888888889,0.0001,False
23,0.011075042182418667,0.03009872168302536,0.19982790840789677,0.24535167286283005,0.9591494019645381,0.89,0.9888888888888889,0.0001,False
24,0.01316947939771193,0.027535152584314347,0.19331806221976877,0.2346706303235313,0.9626287304527997,0.89,0.9888888888888889,0.0001,False
25,0.010723350020010531,0.02923075348138809,0.19982212835922838,0.24178814450515745,0.9603274261857998,0.9,1.0,0.0001,False
26,0.008877046360277835,0.025776615142822267,0.18955994121730327,0.22705336594995412,0.965015452510259,0.9,1.0,0.0001,False
27,0.010429206329547329,0.027524763196706773,0.19497641941532493,0.23462635549554425,0.9626428306445702,0.9,1.0,0.0001,False
28,0.011903191219877313,0.03699167042970657,0.2041391781717539,0.27199878300387786,0.9497941535284384,0.89,0.9888888888888889,0.0001,False
29,0.009885481747304217,0.03180279850959778,0.19231824520975352,0.2522015036722105,0.9568365932251328,0.89,0.9888888888888889,0.0001,False
30,0.007929354240646424,0.029237797260284425,0.20460181474685668,0.2418172731297469,0.9603178667665778,0.89,0.9888888888888889,0.0001,False
31,0.009301478460569073,0.026691893041133882,0.18570595111697913,0.23104931657694466,0.9637732187716194,0.9,1.0,0.0001,False
32,0.00851078496808991,0.023135412335395813,0.17940695187076927,0.21510653895415027,0.9686001482913941,0.9,1.0,0.0001,True
33,0.008648791214750137,0.03510788559913635,0.2056032395362854,0.2649825867690685,0.9523508626303722,0.89,0.9888888888888889,0.0001,False
